time,par
2015-08-03 11:24:57,-0.189
2015-08-03 11:27:57,-0.163
2015-08-03 11:30:58,-0.189
2015-08-03 11:33:58,-0.163
2015-08-03 11:36:58,-0.189
2015-08-03 11:39:58,-0.189
2015-08-03 11:42:59,-0.163
2015-08-03 11:45:59,-0.163
2015-08-03 11:48:59,-0.189
2015-08-03 11:51:59,-0.189
2015-08-03 11:55:00,-0.189
2015-08-03 11:58:00,-0.189
2015-08-03 12:01:00,-0.189
2015-08-03 12:04:00,-0.189
2015-08-03 12:07:01,-0.189
2015-08-03 12:10:01,-0.163
2015-08-03 12:13:01,-0.189
2015-08-03 12:16:01,-0.189
2015-08-03 12:22:11,-0.189
2015-08-03 12:25:11,-0.189
2015-08-03 12:28:11,-0.189
2015-08-03 12:31:12,-0.189
2015-08-03 12:34:12,-0.163
2015-08-03 12:37:12,-0.189
2015-08-03 12:40:12,-0.189
2015-08-03 12:43:13,-0.189
2015-08-03 12:46:13,-0.189
2015-08-03 12:49:13,-0.163
2015-08-03 12:52:13,-0.189
2015-08-03 12:55:14,-0.189
2015-08-03 12:58:14,-0.189
2015-08-03 13:01:14,-0.189
2015-08-03 13:04:14,-0.189
2015-08-03 13:07:15,-0.189
2015-08-03 13:10:15,-0.163
2015-08-03 13:13:15,-0.163
2015-08-03 13:16:15,-0.163
2015-08-03 13:19:16,-0.163
2015-08-03 13:22:16,-0.189
2015-08-03 13:25:16,-0.189
2015-08-03 13:28:16,-0.163
2015-08-03 13:31:17,-0.163
2015-08-03 13:34:17,-0.189
2015-08-03 13:37:17,-0.189
2015-08-03 13:40:17,-0.189
2015-08-03 13:43:18,-0.189
2015-08-03 13:46:18,-0.189
2015-08-03 13:49:18,-0.189
2015-08-03 13:52:18,-0.189
2015-08-03 13:55:19,-0.189
2015-08-03 13:58:19,-0.189
2015-08-03 14:01:19,-0.189
2015-08-03 14:04:19,-0.189
2015-08-03 14:07:20,-0.189
2015-08-03 14:10:20,-0.189
2015-08-03 14:13:20,-0.163
2015-08-03 14:16:20,-0.189
2015-08-03 14:19:21,-0.189
2015-08-03 14:22:21,-0.189
2015-08-03 14:25:21,-0.163
2015-08-03 14:28:21,-0.189
2015-08-03 14:31:22,-0.189
2015-08-03 14:34:22,-0.189
2015-08-03 14:37:22,-0.189
2015-08-03 14:40:22,-0.163
2015-08-03 14:43:22,-0.189
2015-08-03 14:46:23,-0.189
2015-08-03 14:49:23,-0.189
2015-08-03 14:52:23,-0.189
2015-08-03 14:55:23,-0.189
2015-08-03 14:58:24,-0.189
2015-08-03 15:01:24,-0.163
2015-08-03 15:04:24,-0.163
2015-08-03 15:07:24,-0.163
2015-08-03 15:10:25,-0.189
2015-08-03 15:13:25,-0.189
2015-08-03 15:16:25,-0.189
2015-08-03 15:19:25,-0.163
2015-08-03 15:22:26,-0.189
2015-08-03 15:25:26,-0.163
2015-08-03 15:28:26,-0.495
2015-08-03 15:31:26,-0.163
2015-08-03 15:34:27,-0.163
2015-08-03 15:37:27,-0.163
2015-08-03 15:40:27,-0.138
2015-08-03 15:43:27,-0.062
2015-08-03 15:46:28,0.04
2015-08-03 15:49:28,0.219
2015-08-03 15:52:28,0.499
2015-08-03 15:55:28,0.779
2015-08-03 15:58:29,1.314
2015-08-03 16:01:29,2.18
2015-08-03 16:04:29,-49.07
2015-08-03 16:07:29,3.683
2015-08-03 16:10:30,4.574
2015-08-03 16:13:30,6.332
2015-08-03 16:16:30,9.771
2015-08-03 16:19:30,11.273
2015-08-03 16:22:31,35.472
2015-08-03 16:25:31,45.712
2015-08-03 16:28:31,58.346
2015-08-03 16:31:31,56.486
2015-08-03 16:34:32,37.306
2015-08-03 16:37:32,26.353
2015-08-03 16:40:32,24.672
2015-08-03 16:43:32,26.149
2015-08-03 16:46:33,97.725
2015-08-03 16:49:33,102.208
2015-08-03 16:52:33,106.895
2015-08-03 16:55:33,111.735
2015-08-03 16:58:34,113.823
2015-08-03 17:01:34,116.677
2015-08-03 17:04:34,28.926
2015-08-03 17:07:34,29.511
2015-08-03 17:10:35,30.199
2015-08-03 17:13:35,31.167
2015-08-03 17:16:35,32.313
2015-08-03 17:19:35,33.179
2015-08-03 17:22:35,35.395
2015-08-03 17:25:36,40.286
2015-08-03 17:28:36,36.694
2015-08-03 17:31:36,40.108
2015-08-03 17:34:36,46.552
2015-08-03 17:37:37,42.731
2015-08-03 17:40:37,98.513
2015-08-03 17:43:37,82.134
2015-08-03 17:46:37,99.124
2015-08-03 17:49:38,92.171
2015-08-03 17:52:38,86.77
2015-08-03 17:55:38,75.104
2015-08-03 17:58:38,69.399
2015-08-03 18:01:39,75.181
2015-08-03 18:04:39,107.478
2015-08-03 18:07:39,102.46
2015-08-03 18:10:39,88.884
2015-08-03 18:13:40,140.972
2015-08-03 18:16:40,128.72
2015-08-03 18:19:40,92.627
2015-08-03 18:22:40,99.886
2015-08-03 18:25:41,124.9
2015-08-03 18:28:41,123.6
2015-08-03 18:31:41,91.277
2015-08-03 18:34:41,78.313
2015-08-03 18:37:42,92.424
2015-08-03 18:40:42,256.355
2015-08-03 18:43:42,230.018
2015-08-03 18:46:42,119.118
2015-08-03 18:49:43,107.146
2015-08-03 18:52:43,107.426
2015-08-03 18:55:43,99.836
2015-08-03 18:58:43,105.261
2015-08-03 19:01:43,102.892
2015-08-03 19:04:44,109.107
2015-08-03 19:07:44,177.546
2015-08-03 19:10:44,136.921
2015-08-03 19:13:44,124.389
2015-08-03 19:16:45,120.518
2015-08-03 19:19:45,118.2
2015-08-03 19:22:45,164.506
2015-08-03 19:25:45,108.088
2015-08-03 19:28:46,105.744
2015-08-03 19:31:46,152.51
2015-08-03 19:34:46,119.296
2015-08-03 19:37:46,201.39
2015-08-03 19:40:47,185.089
2015-08-03 19:43:47,133.815
2015-08-03 19:46:47,190.616
2015-08-03 19:49:47,153.325
2015-08-03 19:52:47,167.132
2015-08-03 19:55:48,166.189
2015-08-03 19:58:48,212.063
2015-08-03 20:01:48,234.326
2015-08-03 20:04:48,107.173
2015-08-03 20:07:49,224.342
2015-08-03 20:10:49,202.868
2015-08-03 20:13:49,202.663
2015-08-03 20:16:49,199.911
2015-08-03 20:19:49,199.173
2015-08-03 20:22:50,199.199
2015-08-03 20:25:50,208.47
2015-08-03 20:28:50,161.044
2015-08-03 20:31:51,231.523
2015-08-03 20:34:51,165.424
2015-08-03 20:37:51,159.591
2015-08-03 20:40:51,196.295
2015-08-03 20:43:52,211.654
2015-08-03 20:46:52,204.242
2015-08-03 20:49:52,177.624
2015-08-03 20:52:52,58.929
2015-08-03 20:55:53,73.473
2015-08-03 20:58:53,104.318
2015-08-03 21:01:53,130.655
2015-08-03 21:04:53,174.568
2015-08-03 21:07:53,253.985
2015-08-03 21:10:54,253.832
2015-08-03 21:13:54,256.915
2015-08-03 21:16:54,172.505
2015-08-03 21:19:54,201.668
2015-08-03 21:22:55,168.964
2015-08-03 21:25:55,181.648
2015-08-03 21:28:55,198.943
2015-08-03 21:31:55,205.389
2015-08-03 21:34:56,211.347
2015-08-03 21:37:56,196.448
2015-08-03 21:40:56,190.895
2015-08-03 21:43:56,276.912
2015-08-03 21:46:57,190.691
2015-08-03 21:49:57,269.395
2015-08-03 21:52:57,248.356
2015-08-03 21:55:57,207.322
2015-08-03 21:58:58,189.696
2015-08-03 22:01:58,135.595
2015-08-03 22:04:58,201.158
2015-08-03 22:07:58,173.649
2015-08-03 22:10:59,128.769
2015-08-03 22:13:59,179.353
2015-08-03 22:16:59,275.454
2015-08-03 22:19:59,207.473
2015-08-03 22:23:00,146.699
2015-08-03 22:26:00,249.372
2015-08-03 22:29:00,202.633
2015-08-03 22:32:00,160.861
2015-08-03 22:35:01,170.004
2015-08-03 22:38:01,218.167
2015-08-03 22:41:01,222.803
2015-08-03 22:44:01,258.029
2015-08-03 22:47:02,93.721
2015-08-03 22:50:02,97.186
2015-08-03 22:53:02,119.753
2015-08-03 22:56:02,167.537
2015-08-03 22:59:03,251.64
2015-08-03 23:02:03,216.541
2015-08-03 23:11:45,258.465
2015-08-03 23:14:45,231.719
2015-08-03 23:17:45,201.716
2015-08-03 23:20:46,213.917
2015-08-03 23:23:46,222.246
2015-08-03 23:26:46,209.434
2015-08-03 23:29:46,161.091
2015-08-03 23:32:47,213.815
2015-08-03 23:35:47,210.758
2015-08-03 23:38:47,209.994
2015-08-03 23:41:47,105.056
2015-08-03 23:44:48,102.763
2015-08-03 23:47:48,123.548
2015-08-03 23:50:48,133.939
2015-08-03 23:53:48,210.657
2015-08-03 23:56:49,291.324
2015-08-03 23:59:49,140.842
2015-08-04 00:00:01,131.419
2015-08-04 00:03:02,271.228
2015-08-04 00:06:02,149.147
2015-08-04 00:09:02,161.806
2015-08-04 00:12:02,240.002
2015-08-04 00:15:03,219.828
2015-08-04 00:18:03,211.728
2015-08-04 00:21:03,246.317
2015-08-04 00:24:03,190.513
2015-08-04 00:27:04,81.98
2015-08-04 00:30:04,112.596
2015-08-04 00:33:04,213.664
2015-08-04 00:36:04,155.157
2015-08-04 00:39:05,158.087
2015-08-04 00:42:05,253.477
2015-08-04 00:45:05,163.412
2015-08-04 00:48:05,190.029
2015-08-04 00:51:06,185.622
2015-08-04 00:54:06,131.725
2015-08-04 00:57:06,161.882
2015-08-04 01:00:06,163.08
2015-08-04 01:03:07,149.351
2015-08-04 01:06:07,146.014
2015-08-04 01:09:07,147.822
2015-08-04 01:12:07,174.082
2015-08-04 01:15:08,172.146
2015-08-04 01:18:08,134.322
2015-08-04 01:21:08,82.361
2015-08-04 01:24:08,125.815
2015-08-04 01:27:08,215.548
2015-08-04 01:30:09,233.915
2015-08-04 01:33:09,144.894
2015-08-04 01:36:09,187.532
2015-08-04 01:39:09,152.076
2015-08-04 01:42:10,163.589
2015-08-04 01:45:10,108.878
2015-08-04 01:48:10,65.5
2015-08-04 01:51:10,59.489
2015-08-04 01:54:11,135.545
2015-08-04 01:57:11,116.188
2015-08-04 02:00:11,163.615
2015-08-04 02:03:11,119.779
2015-08-04 02:06:12,103.682
2015-08-04 02:09:12,92.423
2015-08-04 02:12:12,105.108
2015-08-04 02:15:12,114.049
2015-08-04 02:18:13,143.671
2015-08-04 02:21:13,210.279
2015-08-04 02:24:13,142.45
2015-08-04 02:27:13,89.826
2015-08-04 02:30:14,112.649
2015-08-04 02:33:14,127.932
2015-08-04 02:36:14,221.158
2015-08-04 02:39:14,105.262
2015-08-04 02:42:15,108.014
2015-08-04 02:45:15,125.64
2015-08-04 02:48:15,102.512
2015-08-04 02:51:15,120.952
2015-08-04 03:01:29,111.528
2015-08-04 03:04:30,102.944
2015-08-04 03:07:30,125.104
2015-08-04 03:10:30,159.644
2015-08-04 03:13:30,215.758
2015-08-04 03:16:31,96.857
2015-08-04 03:19:31,113.796
2015-08-04 03:22:31,89.496
2015-08-04 03:25:32,130.607
2015-08-04 03:28:32,52.154
2015-08-04 03:31:32,63.311
2015-08-04 03:34:32,59.032
2015-08-04 03:37:33,175.512
2015-08-04 03:40:33,67.666
2015-08-04 03:43:33,40.005
2015-08-04 03:46:33,33.586
2015-08-04 03:49:34,34.401
2015-08-04 03:52:34,37.559
2015-08-04 03:55:34,33.459
